#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
l(2)09851	pit	3231685	3230741	7227.FBpp0085379	7227.FBpp0083572	0	0	0	0	0.983	0.676	0	0.064	0.994
CG8545	CG5728	3232509	3230983	7227.FBpp0087045	7227.FBpp0084016	0.048	0	0	0	0.988	0.100	0	0.474	0.994
CG13096	CG8939	3228528	3225845	7227.FBpp0079306	7227.FBpp0073943	0	0	0	0	0.985	0.549	0	0.190	0.994
Nnp-1	CG13096	3228921	3228528	7227.FBpp0080052	7227.FBpp0079306	0	0	0	0	0.979	0.616	0	0.387	0.994
RpI1	pit	3232310	3230741	7227.FBpp0086640	7227.FBpp0083572	0.042	0	0	0	0.979	0.150	0	0.703	0.994
CG5033	CG7006	3233132	3231013	7227.FBpp0088519	7227.FBpp0084082	0	0	0	0	0.945	0.637	0.540	0.455	0.994
nop5	CG4554	3228392	3224719	7227.FBpp0078997	7227.FBpp0071744	0	0	0	0	0.586	0.813	0.900	0.293	0.993
Nop56	CG2691	3230765	3225701	7227.FBpp0083625	7227.FBpp0073679	0	0	0	0	0.961	0.698	0	0.458	0.993
Dbp45A	CG7728	3232790	3226390	7227.FBpp0087645	7227.FBpp0075034	0	0	0	0	0.858	0.135	0.900	0.566	0.993
CG5033	CG1234	3233132	3229452	7227.FBpp0088519	7227.FBpp0081117	0	0	0	0	0.975	0.677	0	0.279	0.993
l(2)09851	CG32409	3231685	3227244	7227.FBpp0085379	7227.FBpp0076738	0	0	0	0	0.983	0	0	0.616	0.993
CG12325	CG13096	3232662	3228528	7227.FBpp0087322	7227.FBpp0079306	0	0	0	0	0.914	0.848	0	0.555	0.993
Nop56	CG4554	3230765	3224719	7227.FBpp0083625	7227.FBpp0071744	0	0	0	0	0.329	0.662	0.900	0.747	0.993
pit	CG9799	3230741	3230047	7227.FBpp0083572	7227.FBpp0082231	0	0	0	0	0.972	0.685	0	0.296	0.993
CG7006	CG32409	3231013	3227244	7227.FBpp0084082	7227.FBpp0076738	0	0	0	0	0.985	0.100	0.540	0.096	0.993
RIOK2	CG7728	3231069	3226390	7227.FBpp0084191	7227.FBpp0075034	0	0	0	0	0.742	0.053	0.900	0.766	0.993
CG7006	pit	3231013	3230741	7227.FBpp0084082	7227.FBpp0083572	0	0	0	0	0.956	0.756	0	0.413	0.993
CG9799	CG13096	3230047	3228528	7227.FBpp0082231	7227.FBpp0079306	0	0	0	0	0.912	0.764	0	0.694	0.993
Dbp45A	CG5589	3232790	3226341	7227.FBpp0087645	7227.FBpp0074936	0	0	0.443	0.643	0.888	0.100	0.900	0.846	0.993
Nopp140	Fib	3237391	3224793	7227.FBpp0305034	7227.FBpp0071892	0	0	0	0	0.832	0.614	0	0.904	0.993
CG7728	Fib	3226390	3224793	7227.FBpp0075034	7227.FBpp0071892	0	0	0	0	0.436	0.752	0.900	0.554	0.992
CG12301	Fib	3226533	3224793	7227.FBpp0075317	7227.FBpp0071892	0	0	0	0	0.612	0.741	0.900	0.299	0.992
pit	CG1234	3230741	3229452	7227.FBpp0083572	7227.FBpp0081117	0	0	0	0	0.945	0.851	0	0.094	0.992
CG12050	CG7338	3234323	3227894	7227.FBpp0113107	7227.FBpp0077998	0	0	0	0	0.904	0	0.900	0.264	0.992
CG7006	CG11583	3231013	3225400	7227.FBpp0084082	7227.FBpp0073098	0	0	0	0	0.971	0.710	0	0.214	0.992
CG9799	CG5589	3230047	3226341	7227.FBpp0082231	7227.FBpp0074936	0	0	0	0	0.889	0	0.900	0.389	0.992
CG7338	CG4554	3227894	3224719	7227.FBpp0077998	7227.FBpp0071744	0	0	0	0	0.901	0	0.900	0.344	0.992
nop5	CG1785	3228392	3224439	7227.FBpp0078997	7227.FBpp0071193	0	0	0	0	0.963	0.335	0	0.713	0.992
Nop56	Nnp-1	3230765	3228921	7227.FBpp0083625	7227.FBpp0080052	0	0	0	0	0.991	0.055	0	0.162	0.992
CG1234	CG2691	3229452	3225701	7227.FBpp0081117	7227.FBpp0073679	0	0	0	0	0.924	0.731	0	0.664	0.992
CG1234	nop5	3229452	3228392	7227.FBpp0081117	7227.FBpp0078997	0	0	0	0	0.941	0.876	0	0.088	0.992
CG5033	Fib	3233132	3224793	7227.FBpp0088519	7227.FBpp0071892	0	0	0	0	0.966	0.552	0	0.520	0.992
CG12301	CG5589	3226533	3226341	7227.FBpp0075317	7227.FBpp0074936	0	0	0	0	0.907	0	0.900	0.279	0.992
Nop60B	CG5728	3233535	3230983	7227.FBpp0099583	7227.FBpp0084016	0.243	0	0	0	0.937	0.613	0	0.617	0.992
CG10576	Nmd3	3227292	3224020	7227.FBpp0076827	7227.FBpp0070409	0	0	0	0	0.891	0.600	0	0.846	0.992
CG8545	CG9143	3232509	3231810	7227.FBpp0087045	7227.FBpp0085616	0	0	0	0	0.928	0.751	0	0.559	0.991
CG30349	Dbp45A	3232826	3232790	7227.FBpp0087731	7227.FBpp0087645	0	0	0	0	0.887	0.047	0.900	0.264	0.991
Dbp45A	CG13097	3232790	3228527	7227.FBpp0087645	7227.FBpp0079305	0	0	0	0	0.841	0.255	0.900	0.403	0.991
RIOK2	Rtc1	3231069	3225685	7227.FBpp0084191	7227.FBpp0073651	0	0	0	0	0.540	0	0.900	0.827	0.991
CG9143	CG1542	3231810	3231566	7227.FBpp0085616	7227.FBpp0085119	0	0	0	0	0.905	0.748	0	0.686	0.991
pen	CG32409	3227340	3227244	7227.FBpp0076918	7227.FBpp0076738	0	0	0	0	0.976	0.664	0	0	0.991
pit	CG7338	3230741	3227894	7227.FBpp0083572	7227.FBpp0077998	0	0	0	0	0.979	0.136	0	0.566	0.991
CG9143	CG1234	3231810	3229452	7227.FBpp0085616	7227.FBpp0081117	0	0	0	0	0.912	0.726	0	0.679	0.991
CG13097	CG4554	3228527	3224719	7227.FBpp0079305	7227.FBpp0071744	0	0	0	0	0.697	0.106	0.900	0.722	0.991
Dbp45A	CG9799	3232790	3230047	7227.FBpp0087645	7227.FBpp0082231	0	0	0	0	0.870	0.138	0.900	0.264	0.990
CG9253	l(1)G0004	3229393	3227373	7227.FBpp0080997	7227.FBpp0076990	0	0	0	0	0.900	0.162	0.900	0.046	0.990
RIOK2	CG5589	3231069	3226341	7227.FBpp0084191	7227.FBpp0074936	0	0	0	0	0.747	0	0.900	0.656	0.990
CG1234	Nnp-1	3229452	3228921	7227.FBpp0081117	7227.FBpp0080052	0	0	0	0	0.918	0.627	0	0.727	0.990
CG12325	pit	3232662	3230741	7227.FBpp0087322	7227.FBpp0083572	0	0	0	0	0.942	0.741	0	0.406	0.990
Dbp45A	CG12301	3232790	3226533	7227.FBpp0087645	7227.FBpp0075317	0	0	0	0	0.860	0.187	0.900	0.269	0.990
CG12301	Rtc1	3226533	3225685	7227.FBpp0075317	7227.FBpp0073651	0	0	0	0	0.379	0.799	0.900	0.303	0.990
Nopp140	CG5033	3237391	3233132	7227.FBpp0305034	7227.FBpp0088519	0	0	0	0	0.981	0	0	0.528	0.990
CG9143	pit	3231810	3230741	7227.FBpp0085616	7227.FBpp0083572	0	0	0.441	0.627	0.948	0.703	0	0.707	0.990
CG8545	CG1234	3232509	3229452	7227.FBpp0087045	7227.FBpp0081117	0	0	0	0	0.943	0.825	0	0.116	0.990
Aatf	CG5589	3228359	3226341	7227.FBpp0078929	7227.FBpp0074936	0	0	0	0	0.893	0.715	0	0.720	0.990
CG5033	ppan	3233132	3230664	7227.FBpp0088519	7227.FBpp0083415	0	0	0	0	0.912	0.724	0.540	0.212	0.990
CG30349	CG32409	3232826	3227244	7227.FBpp0087731	7227.FBpp0076738	0	0	0	0	0.983	0	0	0.417	0.989
CG12050	CG5589	3234323	3226341	7227.FBpp0113107	7227.FBpp0074936	0	0	0	0	0.874	0	0.900	0.264	0.989
CG7728	CG2691	3226390	3225701	7227.FBpp0075034	7227.FBpp0073679	0	0	0	0	0.951	0.273	0	0.732	0.989
CG32409	CG11583	3227244	3225400	7227.FBpp0076738	7227.FBpp0073098	0	0	0	0	0.984	0.194	0	0.204	0.989
Nop60B	CG13097	3233535	3228527	7227.FBpp0099583	7227.FBpp0079305	0	0	0	0	0.889	0.689	0.540	0.411	0.989
ppan	CG11583	3230664	3225400	7227.FBpp0083415	7227.FBpp0073098	0	0	0	0	0.896	0.640	0	0.733	0.989
NHP2	CG5033	3237470	3233132	7227.FBpp0305289	7227.FBpp0088519	0	0	0	0	0.983	0.335	0	0.163	0.989
CG1234	CG8939	3229452	3225845	7227.FBpp0081117	7227.FBpp0073943	0	0	0	0	0.941	0.796	0	0.217	0.989
NHP2	CG1542	3237470	3231566	7227.FBpp0305289	7227.FBpp0085119	0	0	0	0	0.969	0.340	0	0.527	0.989
RIOK2	CG13097	3231069	3228527	7227.FBpp0084191	7227.FBpp0079305	0	0	0	0	0.710	0	0.900	0.661	0.989
CG30349	CG4554	3232826	3224719	7227.FBpp0087731	7227.FBpp0071744	0	0	0	0	0.640	0	0.900	0.727	0.989
CG5728	pit	3230983	3230741	7227.FBpp0084016	7227.FBpp0083572	0	0	0	0	0.981	0.268	0	0.264	0.989
Dbp45A	CG9253	3232790	3229393	7227.FBpp0087645	7227.FBpp0080997	0	0	0.448	0.841	0.879	0	0.900	0.727	0.989
CG1542	Fib	3231566	3224793	7227.FBpp0085119	7227.FBpp0071892	0	0	0	0	0.973	0.550	0	0.216	0.989
Dbp45A	Rtc1	3232790	3225685	7227.FBpp0087645	7227.FBpp0073651	0	0	0	0	0.746	0	0.900	0.615	0.989
CG9253	CG7728	3229393	3226390	7227.FBpp0080997	7227.FBpp0075034	0	0	0	0	0.881	0.135	0.900	0.091	0.989
Nop60B	CG2691	3233535	3225701	7227.FBpp0099583	7227.FBpp0073679	0	0	0	0	0.916	0.399	0	0.817	0.989
CG12301	CG4554	3226533	3224719	7227.FBpp0075317	7227.FBpp0071744	0	0	0	0	0.799	0	0.900	0.454	0.988
CG7338	CG11583	3227894	3225400	7227.FBpp0077998	7227.FBpp0073098	0	0	0	0	0.988	0	0	0	0.988
CG2691	Nmd3	3225701	3224020	7227.FBpp0073679	7227.FBpp0070409	0	0	0	0	0.909	0	0	0.875	0.988
CG5033	CG30349	3233132	3232826	7227.FBpp0088519	7227.FBpp0087731	0	0	0	0	0.988	0	0	0	0.988
RpI1	CG5728	3232310	3230983	7227.FBpp0086640	7227.FBpp0084016	0	0	0	0	0.983	0.111	0	0.278	0.988
CG5033	CG9799	3233132	3230047	7227.FBpp0088519	7227.FBpp0082231	0	0	0	0	0.958	0	0.540	0.458	0.988
CG1542	pit	3231566	3230741	7227.FBpp0085119	7227.FBpp0083572	0	0	0	0	0.931	0.748	0	0.413	0.988
CG12050	Dbp45A	3234323	3232790	7227.FBpp0113107	7227.FBpp0087645	0	0	0	0	0.859	0.046	0.900	0.264	0.988
pit	CG32409	3230741	3227244	7227.FBpp0083572	7227.FBpp0076738	0	0	0	0	0.987	0.173	0	0	0.988
CG13096	pen	3228528	3227340	7227.FBpp0079306	7227.FBpp0076918	0	0	0	0	0.983	0.330	0	0	0.988
CG30349	pit	3232826	3230741	7227.FBpp0087731	7227.FBpp0083572	0	0	0	0	0.985	0.047	0	0.264	0.988
CG9253	CG11583	3229393	3225400	7227.FBpp0080997	7227.FBpp0073098	0	0	0	0	0.981	0.194	0	0.233	0.987
CG5033	RpI1	3233132	3232310	7227.FBpp0088519	7227.FBpp0086640	0	0	0	0	0.986	0	0	0.116	0.987
CG12325	CG9253	3232662	3229393	7227.FBpp0087322	7227.FBpp0080997	0	0.001	0	0	0.857	0.164	0.900	0.048	0.987
CG8545	CG7338	3232509	3227894	7227.FBpp0087045	7227.FBpp0077998	0	0	0	0	0.987	0	0	0	0.987
CG7006	Nnp-1	3231013	3228921	7227.FBpp0084082	7227.FBpp0080052	0	0	0	0	0.903	0.710	0.540	0.113	0.987
Mys45A	CG10576	3232816	3227292	7227.FBpp0087709	7227.FBpp0076827	0	0	0	0	0.862	0.763	0	0.649	0.987
nop5	CG11417	3228392	3223926	7227.FBpp0078997	7227.FBpp0070205	0	0	0	0	0.930	0.742	0	0.347	0.987
ppan	Nnp-1	3230664	3228921	7227.FBpp0083415	7227.FBpp0080052	0	0	0	0	0.919	0.636	0.540	0.162	0.987
nop5	CG32344	3228392	3225102	7227.FBpp0078997	7227.FBpp0072475	0.055	0	0	0	0.974	0.509	0	0.071	0.987
CG13096	CG12301	3228528	3226533	7227.FBpp0079306	7227.FBpp0075317	0	0	0	0	0.888	0.840	0	0.356	0.987
CG8545	pen	3232509	3227340	7227.FBpp0087045	7227.FBpp0076918	0	0	0	0	0.949	0.763	0	0	0.987
pit	CG2691	3230741	3225701	7227.FBpp0083572	7227.FBpp0073679	0	0	0	0	0.953	0.441	0	0.566	0.987
CG7338	Fib	3227894	3224793	7227.FBpp0077998	7227.FBpp0071892	0	0	0	0	0.829	0.102	0.900	0.207	0.986
CG7338	CG8939	3227894	3225845	7227.FBpp0077998	7227.FBpp0073943	0	0	0	0	0.983	0.068	0	0.190	0.986
CG1542	pen	3231566	3227340	7227.FBpp0085119	7227.FBpp0076918	0	0	0	0	0.949	0.725	0	0.071	0.986
CG30349	CG13096	3232826	3228528	7227.FBpp0087731	7227.FBpp0079306	0	0	0	0	0.954	0.433	0	0.520	0.986
CG9253	Fib	3229393	3224793	7227.FBpp0080997	7227.FBpp0071892	0	0.009	0	0	0.847	0.166	0.900	0.071	0.986
pen	CG11417	3227340	3223926	7227.FBpp0076918	7227.FBpp0070205	0	0	0	0	0.956	0.712	0	0	0.986
CG5589	Rtc1	3226341	3225685	7227.FBpp0074936	7227.FBpp0073651	0	0	0	0	0.388	0	0.900	0.800	0.986
CG12050	CG13096	3234323	3228528	7227.FBpp0113107	7227.FBpp0079306	0	0	0	0	0.909	0.764	0	0.406	0.986
CG2691	CG11417	3225701	3223926	7227.FBpp0073679	7227.FBpp0070205	0	0	0	0	0.911	0	0	0.857	0.986
pit	pen	3230741	3227340	7227.FBpp0083572	7227.FBpp0076918	0	0	0	0	0.981	0.272	0	0.096	0.986
eRF1	CG12975	3237123	3227880	7227.FBpp0304202	7227.FBpp0077965	0	0	0	0	0.156	0.100	0.900	0.829	0.985
NHP2	CG30349	3237470	3232826	7227.FBpp0305289	7227.FBpp0087731	0	0	0	0	0.980	0.192	0	0.144	0.985
CG1542	CG1234	3231566	3229452	7227.FBpp0085119	7227.FBpp0081117	0	0	0	0	0.895	0.820	0	0.276	0.985
Dbp45A	RIOK2	3232790	3231069	7227.FBpp0087645	7227.FBpp0084191	0	0	0	0	0.856	0.049	0.900	0.071	0.985
CG8939	CG1785	3225845	3224439	7227.FBpp0073943	7227.FBpp0071193	0	0	0	0	0.951	0.586	0	0.361	0.985
CG5033	CG10576	3233132	3227292	7227.FBpp0088519	7227.FBpp0076827	0	0	0	0	0.896	0.053	0	0.865	0.985
CG30349	l(2)09851	3232826	3231685	7227.FBpp0087731	7227.FBpp0085379	0	0	0	0	0.974	0	0	0.454	0.985
Mys45A	CG13096	3232816	3228528	7227.FBpp0087709	7227.FBpp0079306	0	0	0	0	0.978	0.100	0	0.309	0.985
RIOK2	CG9799	3231069	3230047	7227.FBpp0084191	7227.FBpp0082231	0	0	0	0	0.861	0	0.900	0.068	0.985
CG5033	CG7338	3233132	3227894	7227.FBpp0088519	7227.FBpp0077998	0	0	0	0	0.983	0.048	0	0.126	0.985
NHP2	l(2)09851	3237470	3231685	7227.FBpp0305289	7227.FBpp0085379	0	0	0	0	0.984	0	0	0.096	0.985
nclb	nop5	3232663	3228392	7227.FBpp0087323	7227.FBpp0078997	0	0	0	0	0.962	0.613	0	0.055	0.985
CG5728	CG13096	3230983	3228528	7227.FBpp0084016	7227.FBpp0079306	0	0	0	0	0.945	0.588	0	0.397	0.985
CG1542	ppan	3231566	3230664	7227.FBpp0085119	7227.FBpp0083415	0	0	0	0	0.926	0.334	0.540	0.417	0.985
CG12325	RIOK2	3232662	3231069	7227.FBpp0087322	7227.FBpp0084191	0	0	0	0	0.746	0	0.900	0.461	0.985
CG7006	Nop56	3231013	3230765	7227.FBpp0084082	7227.FBpp0083625	0	0	0	0	0.984	0.061	0	0.093	0.985
CG9253	CG13097	3229393	3228527	7227.FBpp0080997	7227.FBpp0079305	0	0	0	0	0.812	0.255	0.900	0.065	0.985
RpI1	Nop56	3232310	3230765	7227.FBpp0086640	7227.FBpp0083625	0	0	0	0	0.959	0.185	0	0.557	0.984
CG5033	CG12325	3233132	3232662	7227.FBpp0088519	7227.FBpp0087322	0	0	0	0	0.942	0	0.540	0.474	0.984
l(2)09851	CG9253	3231685	3229393	7227.FBpp0085379	7227.FBpp0080997	0	0.008	0	0	0.979	0.135	0	0.209	0.984
CG8939	CG2691	3225845	3225701	7227.FBpp0073943	7227.FBpp0073679	0	0	0	0	0.966	0.501	0	0.162	0.984
CG13096	CG13097	3228528	3228527	7227.FBpp0079306	7227.FBpp0079305	0	0	0	0	0.912	0.764	0	0.296	0.984
CG12301	CG8939	3226533	3225845	7227.FBpp0075317	7227.FBpp0073943	0	0	0	0	0.944	0.663	0	0.216	0.984
CG5033	pen	3233132	3227340	7227.FBpp0088519	7227.FBpp0076918	0	0	0	0	0.981	0.163	0	0	0.983
pen	CG8939	3227340	3225845	7227.FBpp0076918	7227.FBpp0073943	0	0	0	0	0.951	0.673	0	0	0.983
CG32409	Fib	3227244	3224793	7227.FBpp0076738	7227.FBpp0071892	0	0	0	0	0.969	0.439	0	0.093	0.983
CG8939	CG32344	3225845	3225102	7227.FBpp0073943	7227.FBpp0072475	0	0	0	0	0.953	0.445	0	0.416	0.983
CG12909	CG32409	3232700	3227244	7227.FBpp0087437	7227.FBpp0076738	0	0	0	0	0.983	0.049	0	0	0.983
Nopp140	CG13096	3237391	3228528	7227.FBpp0305034	7227.FBpp0079306	0	0	0	0	0.936	0.671	0	0.276	0.983
CG7006	nop5	3231013	3228392	7227.FBpp0084082	7227.FBpp0078997	0	0	0	0	0.983	0.050	0	0.046	0.983
nop5	CG10576	3228392	3227292	7227.FBpp0078997	7227.FBpp0076827	0	0	0	0	0.981	0	0	0.110	0.983
pit	Fib	3230741	3224793	7227.FBpp0083572	7227.FBpp0071892	0	0.002	0	0	0.964	0.166	0	0.487	0.983
nclb	CG12325	3232663	3232662	7227.FBpp0087323	7227.FBpp0087322	0	0	0	0	0.896	0	0	0.846	0.983
CG13097	Aatf	3228527	3228359	7227.FBpp0079305	7227.FBpp0078929	0	0	0	0	0.881	0.758	0	0.457	0.983
CG9253	CG13096	3229393	3228528	7227.FBpp0080997	7227.FBpp0079306	0	0	0	0	0.981	0.151	0	0.062	0.983
Nopp140	mod	3237391	3231626	7227.FBpp0305034	7227.FBpp0085233	0	0	0	0	0.978	0	0	0.288	0.983
CG12050	CG9253	3234323	3229393	7227.FBpp0113107	7227.FBpp0080997	0	0	0	0	0.832	0.046	0.900	0	0.982
CG13096	CG2691	3228528	3225701	7227.FBpp0079306	7227.FBpp0073679	0	0	0	0	0.921	0.644	0	0.417	0.982
CG5728	CG9253	3230983	3229393	7227.FBpp0084016	7227.FBpp0080997	0	0	0	0	0.793	0.190	0.900	0.095	0.982
pit	CG12301	3230741	3226533	7227.FBpp0083572	7227.FBpp0075317	0	0	0	0	0.908	0.753	0	0.269	0.982
CG9253	CG12301	3229393	3226533	7227.FBpp0080997	7227.FBpp0075317	0	0	0	0	0.791	0.187	0.900	0.070	0.982
CG9799	CG9253	3230047	3229393	7227.FBpp0082231	7227.FBpp0080997	0	0	0	0	0.812	0.138	0.900	0	0.982
NHP2	CG12909	3237470	3232700	7227.FBpp0305289	7227.FBpp0087437	0	0	0	0	0.982	0	0	0	0.982
CG5033	CG32409	3233132	3227244	7227.FBpp0088519	7227.FBpp0076738	0	0	0	0	0.952	0	0.540	0.278	0.982
CG13097	CG11417	3228527	3223926	7227.FBpp0079305	7227.FBpp0070205	0	0	0	0	0.936	0.716	0	0.070	0.981
ppan	CG32409	3230664	3227244	7227.FBpp0083415	7227.FBpp0076738	0	0	0	0	0.960	0.049	0.540	0	0.981
Dbp45A	nop5	3232790	3228392	7227.FBpp0087645	7227.FBpp0078997	0.055	0	0	0	0.743	0.255	0.900	0.150	0.981
Dbp45A	CG5728	3232790	3230983	7227.FBpp0087645	7227.FBpp0084016	0	0	0	0	0.349	0.190	0.900	0.696	0.981
Nop60B	CG9799	3233535	3230047	7227.FBpp0099583	7227.FBpp0082231	0	0	0	0	0.918	0.649	0	0.395	0.981
RIOK2	CG5728	3231069	3230983	7227.FBpp0084191	7227.FBpp0084016	0	0	0	0	0.323	0	0.900	0.748	0.981
nclb	CG1542	3232663	3231566	7227.FBpp0087323	7227.FBpp0085119	0	0	0	0	0.926	0.100	0	0.743	0.981
CG32409	CG1785	3227244	3224439	7227.FBpp0076738	7227.FBpp0071193	0	0	0	0	0.940	0.701	0	0.048	0.981
CG7006	Fib	3231013	3224793	7227.FBpp0084082	7227.FBpp0071892	0	0	0	0	0.979	0.050	0	0.065	0.980
CG7006	CG1785	3231013	3224439	7227.FBpp0084082	7227.FBpp0071193	0	0	0	0	0.908	0.334	0	0.700	0.980
RpI1	CG7338	3232310	3227894	7227.FBpp0086640	7227.FBpp0077998	0	0	0	0	0.961	0.133	0	0.454	0.980
Nop60B	CG11583	3233535	3225400	7227.FBpp0099583	7227.FBpp0073098	0	0	0	0	0.947	0.047	0	0.638	0.980
CG30349	CG11583	3232826	3225400	7227.FBpp0087731	7227.FBpp0073098	0	0	0	0	0.980	0	0	0	0.980
CG9253	CG32344	3229393	3225102	7227.FBpp0080997	7227.FBpp0072475	0	0	0.446	0.765	0.937	0.610	0	0.721	0.980
CG9143	pen	3231810	3227340	7227.FBpp0085616	7227.FBpp0076918	0	0	0	0	0.922	0.764	0	0	0.980
CG1542	CG5728	3231566	3230983	7227.FBpp0085119	7227.FBpp0084016	0	0	0	0	0.896	0.120	0	0.805	0.980
Nop60B	CG8545	3233535	3232509	7227.FBpp0099583	7227.FBpp0087045	0.126	0	0	0	0.929	0.166	0	0.658	0.980
CG1234	CG13096	3229452	3228528	7227.FBpp0081117	7227.FBpp0079306	0	0	0	0	0.925	0.685	0	0.225	0.980
CG7338	Nmd3	3227894	3224020	7227.FBpp0077998	7227.FBpp0070409	0	0	0	0	0.919	0	0	0.763	0.980
CG9799	pen	3230047	3227340	7227.FBpp0082231	7227.FBpp0076918	0	0	0	0	0.941	0.664	0	0	0.979
Aatf	pen	3228359	3227340	7227.FBpp0078929	7227.FBpp0076918	0	0	0	0	0.924	0.727	0	0.095	0.979
CG11583	Fib	3225400	3224793	7227.FBpp0073098	7227.FBpp0071892	0	0	0	0	0.927	0.187	0	0.680	0.979
Fib	CG4554	3224793	3224719	7227.FBpp0071892	7227.FBpp0071744	0	0	0	0	0.140	0.463	0.900	0.616	0.979
pen	CG11583	3227340	3225400	7227.FBpp0076918	7227.FBpp0073098	0	0	0	0	0.935	0.691	0	0	0.979
l(1)G0004	Nmd3	3227373	3224020	7227.FBpp0076990	7227.FBpp0070409	0.245	0	0	0	0.903	0	0	0.748	0.979
CG13096	Fib	3228528	3224793	7227.FBpp0079306	7227.FBpp0071892	0	0	0	0	0.896	0.752	0	0.279	0.979
pit	CG9253	3230741	3229393	7227.FBpp0083572	7227.FBpp0080997	0	0	0.447	0.776	0.958	0.427	0	0.438	0.979
RpI1	CG9799	3232310	3230047	7227.FBpp0086640	7227.FBpp0082231	0	0	0	0	0.979	0	0	0	0.979
CG8545	CG1785	3232509	3224439	7227.FBpp0087045	7227.FBpp0071193	0	0	0	0	0.910	0.330	0	0.673	0.978
Nop60B	CG13096	3233535	3228528	7227.FBpp0099583	7227.FBpp0079306	0	0	0	0	0.944	0.339	0	0.458	0.978
Nop60B	pen	3233535	3227340	7227.FBpp0099583	7227.FBpp0076918	0	0	0	0	0.911	0.770	0	0	0.978
CG13096	Rtc1	3228528	3225685	7227.FBpp0079306	7227.FBpp0073651	0	0	0	0	0.704	0.764	0	0.722	0.978
pit	CG13097	3230741	3228527	7227.FBpp0083572	7227.FBpp0079305	0	0	0	0	0.896	0.740	0	0.264	0.978
Surf6	Nnp-1	3230594	3228921	7227.FBpp0083263	7227.FBpp0080052	0	0	0	0	0.908	0.700	0	0.277	0.978
CG1542	CG1785	3231566	3224439	7227.FBpp0085119	7227.FBpp0071193	0	0	0	0	0.933	0.331	0	0.559	0.978
l(1)G0004	CG4554	3227373	3224719	7227.FBpp0076990	7227.FBpp0071744	0	0	0	0	0.090	0.155	0.900	0.754	0.978
mod	Nop56	3231626	3230765	7227.FBpp0085233	7227.FBpp0083625	0	0	0	0	0.978	0	0	0	0.978
Aatf	CG11417	3228359	3223926	7227.FBpp0078929	7227.FBpp0070205	0	0	0	0	0.894	0.729	0	0.287	0.977
l(2)09851	CG1542	3231685	3231566	7227.FBpp0085379	7227.FBpp0085119	0	0	0	0	0.928	0	0	0.693	0.977
nclb	pen	3232663	3227340	7227.FBpp0087323	7227.FBpp0076918	0	0	0	0	0.940	0.633	0	0	0.977
CG7006	CG13096	3231013	3228528	7227.FBpp0084082	7227.FBpp0079306	0	0	0	0	0.936	0.584	0	0.228	0.977
Nop60B	RpI1	3233535	3232310	7227.FBpp0099583	7227.FBpp0086640	0	0	0	0	0.923	0.389	0	0.552	0.977
Dbp45A	Nop56	3232790	3230765	7227.FBpp0087645	7227.FBpp0083625	0.055	0	0	0	0.624	0.255	0.900	0.270	0.977
nclb	CG8939	3232663	3225845	7227.FBpp0087323	7227.FBpp0073943	0	0	0	0	0.902	0.692	0	0.322	0.977
CG12909	CG7006	3232700	3231013	7227.FBpp0087437	7227.FBpp0084082	0	0	0	0	0.977	0	0	0	0.977
CG5728	Nnp-1	3230983	3228921	7227.FBpp0084016	7227.FBpp0080052	0	0	0	0	0.970	0.128	0	0.194	0.977
CG30349	RpI1	3232826	3232310	7227.FBpp0087731	7227.FBpp0086640	0	0	0	0	0.968	0	0	0.277	0.976
NHP2	pit	3237470	3230741	7227.FBpp0305289	7227.FBpp0083572	0	0	0	0	0.956	0.272	0	0.326	0.976
CG5033	CG13097	3233132	3228527	7227.FBpp0088519	7227.FBpp0079305	0	0	0	0	0.913	0	0.540	0.454	0.976
CG7338	CG32344	3227894	3225102	7227.FBpp0077998	7227.FBpp0072475	0	0	0	0	0.976	0.070	0	0.045	0.976
CG13096	CG5589	3228528	3226341	7227.FBpp0079306	7227.FBpp0074936	0	0	0	0	0.918	0.480	0	0.478	0.976
Nopp140	RpI1	3237391	3232310	7227.FBpp0305034	7227.FBpp0086640	0	0	0	0	0.866	0.138	0	0.812	0.976
Mys45A	CG11583	3232816	3225400	7227.FBpp0087709	7227.FBpp0073098	0	0	0	0	0.975	0	0	0.046	0.975
pit	CG32344	3230741	3225102	7227.FBpp0083572	7227.FBpp0072475	0	0	0.444	0.662	0.929	0.497	0	0.683	0.975
CG5114	l(2)09851	3236629	3231685	7227.FBpp0301081	7227.FBpp0085379	0	0	0	0	0.871	0	0	0.814	0.975
CG8545	CG12301	3232509	3226533	7227.FBpp0087045	7227.FBpp0075317	0	0	0	0	0.925	0.657	0	0.118	0.975
CG5033	CG9143	3233132	3231810	7227.FBpp0088519	7227.FBpp0085616	0	0	0	0	0.937	0.395	0	0.417	0.975
CG8939	Fib	3225845	3224793	7227.FBpp0073943	7227.FBpp0071892	0	0	0	0	0.842	0.672	0	0.555	0.975
CG30349	RIOK2	3232826	3231069	7227.FBpp0087731	7227.FBpp0084191	0	0	0	0	0.758	0.047	0.900	0	0.974
mod	CG11583	3231626	3225400	7227.FBpp0085233	7227.FBpp0073098	0	0	0	0	0.974	0	0	0	0.974
